"MasterCatalogName","CatalogName","ProductCode","IsActive","CategoryCodes","ProductName","Price","SalePrice","MSRP","MAP","MAPEffectiveStartDate","MAPEffectiveEndDate","ProductShortDescription","ContentFullProductDescription","SEOMetaTagTitle","SEOMetaTagDescription","SEOMetaTagKeywords","SEOFriendlyURL"
"Mystic Outdoors Master","Mystic Pro Outdoor","PFD_004","Yes","","Moxie PFD - Women's","89.95","","","","","","The MTI Moxie PFD is a women-specific, high-back life jacket with the remarkable MTI Adjust-a-Bust fit system.","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest&nbsp;<div>•	With removable pads under the bust, you can customize your fit&nbsp;</div><div>•	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling&nbsp;</div><div>•	Mesh lower back section increases ventilation&nbsp;</div><div>•	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen&nbsp;</div><div>•	Most phones will also fit in these pockets but remember to use a waterproof case&nbsp;</div><div>•	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape&nbsp;</div><div>•	Reflective trim and a tethered whistle enhance the safety features&nbsp;</div><div>•	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included)&nbsp;</div><div>•	Elastic sunglasses retention loops on front&nbsp;</div><div>• Imported</div>","","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest •	With removable pads under the bust, you can customize your fit •	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling •	Mesh lower back section increases ventilation •	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen •	Most phones will also fit in these pockets but remember to use a waterproof case •	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape •	Reflective trim and a tethered whistle enhance the safety features •	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included) •	Elastic sunglasses retention loops on front • Imported","","moxie-pfd-women-s"
"Mystic Outdoors Master","Mystic Outdoors","PFD_004","Yes","","Moxie PFD - Women's","89.95","","","","","","The MTI Moxie PFD is a women-specific, high-back life jacket with the remarkable MTI Adjust-a-Bust fit system.","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest&nbsp;<div>•	With removable pads under the bust, you can customize your fit&nbsp;</div><div>•	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling&nbsp;</div><div>•	Mesh lower back section increases ventilation&nbsp;</div><div>•	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen&nbsp;</div><div>•	Most phones will also fit in these pockets but remember to use a waterproof case&nbsp;</div><div>•	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape&nbsp;</div><div>•	Reflective trim and a tethered whistle enhance the safety features&nbsp;</div><div>•	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included)&nbsp;</div><div>•	Elastic sunglasses retention loops on front&nbsp;</div><div>• Imported</div>","","•	Adjust-a-Bust offers women real functional support for ""the girls"" by reducing the pressure bearing down on a woman's chest and supporting the bust on the inside of the vest •	With removable pads under the bust, you can customize your fit •	High-back design of the Moxie eliminates ""ride-up"" caused by tall seat backs and makes for a much more comfortable day of paddling •	Mesh lower back section increases ventilation •	2 generous zippered stretch-mesh pockets allow ample storage for day-use items such as lip balm and sunscreen •	Most phones will also fit in these pockets but remember to use a waterproof case •	3-buckle front closure combined with dual side adjustments and adjustable shoulder straps allows a just-right fit for any body shape •	Reflective trim and a tethered whistle enhance the safety features •	Daisy chain on shoulder lets you tether your hat, fishing net or strobe for late evening paddling (accessories not included) •	Elastic sunglasses retention loops on front • Imported","","moxie-pfd-women-s"
"Mystic Outdoors Master","Mystic Pro Outdoor","PFD_003","Yes","","Moxie PFD","89.95","","","","","","The Moxie PFD by MTI includes women-specific padding and a mesh back that's designed to clear high seat backs in kayaks and canoes.","•	Memory foam pads inside front of the vest personalize fit and add support&nbsp;<div>•	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit&nbsp;</div><div>•	400-denier nylon and 300-denier polyester shell offers durable good looks season after season&nbsp;</div><div>•	Open sides add ventilation and free arm movement&nbsp;</div><div>•	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest&nbsp;</div><div>•	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle&nbsp;</div><div>•	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light&nbsp;</div><div>•	Imported</div>","","•	Memory foam pads inside front of the vest personalize fit and add support •	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit •	400-denier nylon and 300-denier polyester shell offers durable good looks season after season •	Open sides add ventilation and free arm movement •	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest •	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle •	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light •	Imported","","moxie-pfd"
"Mystic Outdoors Master","Mystic Outdoors","PFD_003","Yes","","Moxie PFD","89.95","","","","","","The Moxie PFD by MTI includes women-specific padding and a mesh back that's designed to clear high seat backs in kayaks and canoes.","•	Memory foam pads inside front of the vest personalize fit and add support&nbsp;<div>•	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit&nbsp;</div><div>•	400-denier nylon and 300-denier polyester shell offers durable good looks season after season&nbsp;</div><div>•	Open sides add ventilation and free arm movement&nbsp;</div><div>•	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest&nbsp;</div><div>•	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle&nbsp;</div><div>•	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light&nbsp;</div><div>•	Imported</div>","","•	Memory foam pads inside front of the vest personalize fit and add support •	By filling the space under the bust, the memory foam evens out the contact between the body and the jacket, resulting in a remarkable difference in fit •	400-denier nylon and 300-denier polyester shell offers durable good looks season after season •	Open sides add ventilation and free arm movement •	Shoulder adjustments are covered to add protection and provide a smooth, finished look to the vest •	2 large zippered pockets stash on-the-water essentials and include a tethered safety whistle •	Reflective tape accents on front, back and shoulders of the MTI Moxie PFD enhance visibility in low light •	Imported","","moxie-pfd"
"Mystic Outdoors Master","Mystic Pro Outdoor","PFD_002","Yes","","Bob Youth PFD - Mariner - Kids'","78.95","","","","","","With grownup fit and features, the MTI Bob Youth Mariner PFD is an outstanding performance PFD for kids weighing 50 - 90 lbs.","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold&nbsp;<div>•	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system&nbsp;</div><div>•	Low-profile sculpted foam body provides freedom of movement&nbsp;</div><div>•	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water&nbsp;</div><div>•	Handy cargo pocket for collecting treasures&nbsp;</div><div>•	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm&nbsp;</div><div>•	Generous reflective panels for high visibility&nbsp;</div><div>•	Imported</div>","","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold •	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system •	Low-profile sculpted foam body provides freedom of movement •	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water •	Handy cargo pocket for collecting treasures •	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm •	Generous reflective panels for high visibility •	Imported","","bob-youth-pfd-mariner-kids-"
"Mystic Outdoors Master","Mystic Outdoors","PFD_002","Yes","","Bob Youth PFD - Mariner - Kids'","78.95","","","","","","With grownup fit and features, the MTI Bob Youth Mariner PFD is an outstanding performance PFD for kids weighing 50 - 90 lbs.","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold&nbsp;<div>•	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system&nbsp;</div><div>•	Low-profile sculpted foam body provides freedom of movement&nbsp;</div><div>•	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water&nbsp;</div><div>•	Handy cargo pocket for collecting treasures&nbsp;</div><div>•	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm&nbsp;</div><div>•	Generous reflective panels for high visibility&nbsp;</div><div>•	Imported</div>","","•	Easy over-the-head side entry with easy side clip-closure cinches down for a secure hold •	Soft shoulder straps are buckle-free yet micro-adjustable via the tuck-away shoulder strap management system •	Low-profile sculpted foam body provides freedom of movement •	Mesh porthole on the back offers additional ventilation and is a perfect grab handle full pulling a young one from the water •	Handy cargo pocket for collecting treasures •	Fleece-lined kangaroo-style handwarmer tunnel pocket keeps hands warm •	Generous reflective panels for high visibility •	Imported","","bob-youth-pfd-mariner-kids-"
"Mystic Outdoors Master","Mystic Pro Outdoor","PFD_001","Yes","","cVest Mesh Back PFD","114.95","","","","","","Enjoy unrestriced range of motion in the NRS cVest Mesh Back PFD, thanks to large arm openings that let you paddle with prowess, plus 8 adjustment points engineered with sea kayakers in mind.","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage&nbsp;<div>•	Large arm openings provide unrestricted range of motion when paddling and rowing&nbsp;</div><div>•	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab&nbsp;</div><div>•	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally&nbsp;</div><div>•	Back mesh panel provides cooling airflow and integrates well with high-back seats&nbsp;</div><div>•	Reflective tape keeps you visible in low-light conditions&nbsp;</div><div>•	8 adjustment points let you fine-tune your fit&nbsp;</div><div>•	Imported</div>","","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage •	Large arm openings provide unrestricted range of motion when paddling and rowing •	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab •	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally •	Back mesh panel provides cooling airflow and integrates well with high-back seats •	Reflective tape keeps you visible in low-light conditions •	8 adjustment points let you fine-tune your fit •	Imported","","cvest-mesh-back-pfd"
"Mystic Outdoors Master","Mystic Outdoors","PFD_001","Yes","","cVest Mesh Back PFD","114.95","","","","","","Enjoy unrestriced range of motion in the NRS cVest Mesh Back PFD, thanks to large arm openings that let you paddle with prowess, plus 8 adjustment points engineered with sea kayakers in mind.","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage&nbsp;<div>•	Large arm openings provide unrestricted range of motion when paddling and rowing&nbsp;</div><div>•	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab&nbsp;</div><div>•	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally&nbsp;</div><div>•	Back mesh panel provides cooling airflow and integrates well with high-back seats&nbsp;</div><div>•	Reflective tape keeps you visible in low-light conditions&nbsp;</div><div>•	8 adjustment points let you fine-tune your fit&nbsp;</div><div>•	Imported</div>","","•	6 pockets, including 1 for a radio or GPS receiver, offer plenty of storage •	Large arm openings provide unrestricted range of motion when paddling and rowing •	Accessory lash tab lends versatility with a rear beacon loop, front lanyard loop and an accessory lash tab •	Flotation is concentrated behind the shoulders and in the front panels, allowing you to sit naturally •	Back mesh panel provides cooling airflow and integrates well with high-back seats •	Reflective tape keeps you visible in low-light conditions •	8 adjustment points let you fine-tune your fit •	Imported","","cvest-mesh-back-pfd"
"Mystic Outdoors Master","Mystic Outdoors","Kayak-3","Yes","","Wilderness Pamlico Kayak","450.00","","","","","","","","","","","wilderness-pamlico-kayak"
"Mystic Outdoors Master","Mystic Pro Outdoor","HKFT_035","Yes","","Nepal Jr. Waterproof Hiking Boots - Kids'","65.00","","","","","","Lace up the Hi-Tec Nepal Jr. waterproof hiking boots on your young hiker's feet and enjoy a summer filled with fun family adventures.","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days&nbsp;<div>•	Soft padded collars are comfortable around the ankles&nbsp;</div><div>•	Soft, cushioned insoles absorb shock&nbsp;</div><div>•	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow&nbsp;</div><div>•	Durable rubber outsoles can handle any trail

</div>","","•	Suede and mesh uppers have built-in waterproof booties to keep your child's feet dry on wet days •	Soft padded collars are comfortable around the ankles •	Soft, cushioned insoles absorb shock •	Big-Fit dual-insole system lets you adjust the interior volume of the boots and create more space when your child's feet grow •	Durable rubber outsoles can handle any trail","","nepal-jr.-waterproof-hiking-boots-kids-"
